City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
155,Pisco,PE,2020-05-10 20:48:01,-13.7,-76.22,75.2,64,7,13.87,clear sky,0.0,0.0
156,Victoria,HK,2020-05-10 20:45:02,22.29,114.16,80.01,78,64,4.0,broken clouds,0.0,0.0
157,Narsaq,GL,2020-05-10 20:48:01,60.92,-46.05,53.6,68,93,11.41,overcast clouds,0.0,0.0
158,New London,US,2020-05-10 20:48:01,41.36,-72.1,60.01,47,1,17.22,clear sky,0.0,0.0
159,Mocambique,US,2020-05-10 20:48:01,41.36,-72.1,60.01,47,1,17.22,clear sky,0.0,0.0
160,Konya,TR,2020-05-10 20:48:01,38.17,32.5,51.8,62,0,9.17,clear sky,0.0,0.0
161,Palmer,US,2020-05-10 20:48:01,42.16,-72.33,61.0,30,75,20.8,broken clouds,0.0,0.0
162,Erenhot,CN,2020-05-10 20:48:01,43.65,111.98,48.0,46,78,18.57,broken clouds,0.0,0.0
163,Gualaceo,EC,2020-05-10 20:48:01,-2.9,-78.78,69.8,52,75,6.93,broken clouds,0.0,0.0
164,Hasaki,JP,2020-05-10 20:48:02,35.73,140.83,69.8,88,75,4.7,broken clouds,0.0,0.0
165,Fortuna,US,2020-05-10 20:43:12,40.6,-124.16,60.01,82,1,14.99,clear sky,0.0,0.0
166,Kapaa,US,2020-05-10 20:48:02,22.08,-159.32,78.8,65,40,13.87,scattered clouds,0.0,0.0
167,Vanino,RU,2020-05-10 20:48:02,49.09,140.25,40.08,96,100,4.59,light rain,0.0,0.0
168,Rio Gallegos,AR,2020-05-10 20:48:02,-51.62,-69.22,44.6,87,31,4.7,scattered clouds,0.0,0.0
169,Komsomolskiy,UZ,2020-05-10 20:48:02,40.43,71.72,66.2,55,0,9.17,clear sky,0.0,0.0
170,Ucluelet,CA,2020-05-10 20:48:02,48.93,-125.55,70.0,59,40,5.82,scattered clouds,0.0,0.0
171,Laguna,US,2020-05-10 20:48:02,38.42,-121.42,75.2,49,1,14.99,clear sky,0.0,0.0
172,Macomer,IT,2020-05-10 20:48:02,40.26,8.77,59.0,93,75,4.7,moderate rain,0.0,0.0
173,Codrington,AU,2020-05-10 20:48:02,-38.27,141.97,46.11,94,12,9.93,few clouds,0.0,0.0
174,Cumra,TR,2020-05-10 20:48:03,37.57,32.77,51.8,62,0,9.17,clear sky,0.0,0.0
175,Dwarka,IN,2020-05-10 20:48:03,22.24,68.97,81.25,86,0,13.76,clear sky,0.0,0.0
176,Nishihara,JP,2020-05-10 20:48:03,26.18,127.76,77.0,100,90,3.36,heavy intensity rain,0.0,0.0
177,Pontian Kecil,MY,2020-05-10 20:48:03,1.48,103.39,79.0,94,20,2.93,few clouds,0.0,0.0
