City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
375,Parrita,9.52,-84.32,77.0,78,75,11.41,CR,2020-05-10 20:48:28,thunderstorm,0.0,0.0
376,Riyadh,24.69,46.72,89.6,25,94,8.05,SA,2020-05-10 20:45:07,overcast clouds,0.0,0.0
377,Krasnovishersk,60.41,57.08,55.31,90,99,3.38,RU,2020-05-10 20:48:28,light rain,0.0,0.0
378,Goba,7.02,39.98,51.49,91,82,1.63,ET,2020-05-10 20:48:28,light rain,0.0,0.0
379,Palekh,56.8,41.86,48.7,96,99,3.71,RU,2020-05-10 20:48:28,overcast clouds,0.0,0.0
380,Yangjiang,21.85,111.97,79.14,92,81,2.57,CN,2020-05-10 20:48:28,broken clouds,0.0,0.0
381,Emerald,-23.53,148.17,59.0,41,40,13.87,AU,2020-05-10 20:48:28,scattered clouds,0.0,0.0
382,Ulundurpettai,-23.53,148.17,59.0,41,40,13.87,AU,2020-05-10 20:48:28,scattered clouds,0.0,0.0
383,Porbandar,21.64,69.61,80.56,86,0,9.51,IN,2020-05-10 20:48:29,clear sky,0.0,0.0
384,Phan Thiet,10.93,108.1,77.04,85,77,3.83,VN,2020-05-10 20:48:29,broken clouds,0.0,0.0
385,Ezhou,30.4,114.83,65.19,74,0,0.6,CN,2020-05-10 20:48:29,clear sky,0.0,0.0
386,Rayagada,19.17,83.42,82.8,45,23,2.44,IN,2020-05-10 20:48:29,few clouds,0.0,0.0
387,Dryden,49.78,-92.75,42.8,18,1,14.99,CA,2020-05-10 20:48:29,clear sky,0.0,0.0
388,Sanford,28.8,-81.27,82.4,57,75,10.29,US,2020-05-10 20:46:14,broken clouds,0.0,0.0
389,Grenaa,56.42,10.88,46.4,61,47,8.05,DK,2020-05-10 20:48:29,scattered clouds,0.0,0.0
390,Malanville,11.87,3.39,81.61,64,62,27.38,BJ,2020-05-10 20:48:30,light rain,0.0,0.0
391,Honggang,46.47,124.87,47.41,64,3,8.81,CN,2020-05-10 20:48:30,clear sky,0.0,0.0
392,Floresta,-8.6,-38.57,75.74,78,100,13.18,BR,2020-05-10 20:48:30,light rain,0.0,0.0
393,San Cristobal,7.77,-72.22,102.2,24,20,16.11,VE,2020-05-10 20:44:25,few clouds,0.0,0.0
394,El Alto,-4.27,-81.21,74.12,74,89,14.18,PE,2020-05-10 20:48:30,overcast clouds,0.0,0.0
395,Brasileia,-11.02,-68.75,89.6,59,40,4.7,BR,2020-05-10 20:48:30,scattered clouds,0.0,0.0
396,Maceio,-9.67,-35.74,77.0,94,75,3.36,BR,2020-05-10 20:48:30,broken clouds,0.0,0.0
397,Sechura,-5.56,-80.82,79.23,60,60,13.85,PE,2020-05-10 20:48:30,broken clouds,0.0,0.0
398,Pocatello,42.87,-112.45,75.99,22,1,10.29,US,2020-05-10 20:48:30,clear sky,0.0,0.0
399,Airai,-8.93,125.41,56.52,97,24,2.93,TL,2020-05-10 20:48:31,few clouds,0.0,0.0
400,Tuatapere,-46.13,167.68,51.93,78,100,6.91,NZ,2020-05-10 20:48:31,overcast clouds,0.0,0.0
401,Panama City,8.99,-79.52,93.2,66,40,18.34,PA,2020-05-10 20:43:37,scattered clouds,0.0,0.0
402,Cayenne,4.93,-52.33,82.4,78,96,10.29,GF,2020-05-10 20:48:31,light rain,0.0,0.0
403,Torbay,47.67,-52.73,39.0,86,90,36.91,CA,2020-05-10 20:48:31,light intensity shower rain,0.0,0.0
404,Tsienyane,47.67,-52.73,39.0,86,90,36.91,CA,2020-05-10 20:48:31,light intensity shower rain,0.0,0.0
405,Beypur,47.67,-52.73,39.0,86,90,36.91,CA,2020-05-10 20:48:31,light intensity shower rain,0.0,0.0
406,Manuk Mangkaw,4.8,119.85,84.29,71,100,2.24,PH,2020-05-10 20:48:31,overcast clouds,0.0,0.0
407,Kalawit,8.07,122.52,79.74,80,100,2.37,PH,2020-05-10 20:48:31,overcast clouds,0.0,0.0
408,Kovdor,67.57,30.48,35.85,97,100,9.13,RU,2020-05-10 20:48:32,overcast clouds,0.0,0.0
